pseudotime_region,n_cells,median_pseudotime,median_signed_delta,q25_signed_delta,q75_signed_delta,median_abs_separation,q25_abs_separation,q75_abs_separation
early_bins_1_3,5660,26.304120535518805,-0.17998226554146252,-0.2733803977673219,-0.07424526108263442,0.18248654383010007,0.09044728284411419,0.2743057723202055
middle_bins_4_7,7544,36.23861418915639,-0.19372498380960665,-0.28115635170877623,-0.08626859217923588,0.19962132504588928,0.10860023092107211,0.2836166722833039
late_bins_8_10,5658,49.16038619601208,-0.03252152059874058,-0.15108633693592577,0.10386052719811706,0.13162362498075117,0.06341162042147658,0.2199236653428764
