day,n_cells,median_pseudotime,q25,q75
D8,2724,24.908744835517176,20.897881750132505,29.696421316975112
D14,6248,30.53110128274518,27.479825073504404,33.50812715736237
D21,4217,42.026172242510825,39.12973162464007,44.27949541463777
D28,2872,46.793370588634936,44.07001691589949,50.81265688597091
D35,2801,47.59100972971179,45.30564935528721,51.27989987773323
