pseudotime_path,n_cells,spearman_day,median_D8,median_D14,median_D21,median_D28,median_D35
Lineage1,27479,0.4738736808369485,22.864028428698614,29.83196134916843,39.347464119772646,38.01325907560941,38.01325907560941
Lineage2,25008,0.0661281057556112,26.47508344430241,58.05012938786805,43.05836164369748,42.59246949846143,42.59246949846143
Lineage3,18862,0.8067348763064359,24.908744835517176,30.53110128274518,42.026172242510825,46.793370588634936,47.59100972971179
Lineage4,8544,-0.16105715198933138,41.96023137993902,31.27281991540305,34.738366801713,34.738366801713,35.37846791610504
